"","sim_type","mean_comm","case","day"
"119","Lockdown-Travel Surge2",46.1,1,30
"120","Lockdown-Travel Surge3",48.14,1,30
"121","Control",71.44,1,31
"122","Lockdown-No Surge",46.7,1,31
"123","Lockdown-Travel Surge2",47.36,1,31
"124","Lockdown-Travel Surge3",49.94,1,31
"125","Control",72.82,1,32
"126","Lockdown-No Surge",48.14,1,32
"127","Lockdown-Travel Surge2",49.2,1,32
"128","Lockdown-Travel Surge3",51.54,1,32
"129","Control",74.24,1,33
"130","Lockdown-No Surge",49.74,1,33
"131","Lockdown-Travel Surge2",50.48,1,33
"132","Lockdown-Travel Surge3",53.14,1,33
"133","Control",75.36,1,34
"134","Lockdown-No Surge",51.2,1,34
"135","Lockdown-Travel Surge2",51.82,1,34
"136","Lockdown-Travel Surge3",54.48,1,34
"137","Control",76.4,1,35
"138","Lockdown-No Surge",52.5,1,35
"139","Lockdown-Travel Surge2",53.04,1,35
"140","Lockdown-Travel Surge3",55.66,1,35
"141","Control",77.34,1,36
"142","Lockdown-No Surge",53.76,1,36
"143","Lockdown-Travel Surge2",54.3,1,36
"144","Lockdown-Travel Surge3",56.88,1,36
"145","Control",78.36,1,37
"146","Lockdown-No Surge",54.86,1,37
"147","Lockdown-Travel Surge2",55.62,1,37
"148","Lockdown-Travel Surge3",58.2,1,37
"149","Control",79.3,1,38
"150","Lockdown-No Surge",55.92,1,38
"151","Lockdown-Travel Surge2",56.94,1,38
"152","Lockdown-Travel Surge3",59.48,1,38
"153","Control",80.04,1,39
"154","Lockdown-No Surge",57.08,1,39
"155","Lockdown-Travel Surge2",57.98,1,39
"156","Lockdown-Travel Surge3",60.58,1,39
"157","Control",80.82,1,40
"158","Lockdown-No Surge",58.18,1,40
"159","Lockdown-Travel Surge2",58.9,1,40
"160","Lockdown-Travel Surge3",61.66,1,40
"161","Control",81.48,1,41
"162","Lockdown-No Surge",59.18,1,41
"163","Lockdown-Travel Surge2",59.8,1,41
"164","Lockdown-Travel Surge3",62.52,1,41
"165","Control",82.42,1,42
"166","Lockdown-No Surge",59.98,1,42
"167","Lockdown-Travel Surge2",60.8,1,42
"168","Lockdown-Travel Surge3",63.26,1,42
"169","Control",83.02,1,43
"170","Lockdown-No Surge",60.84,1,43
"171","Lockdown-Travel Surge2",61.62,1,43
"172","Lockdown-Travel Surge3",64.3,1,43
"173","Control",83.58,1,44
"174","Lockdown-No Surge",61.76,1,44
"175","Lockdown-Travel Surge2",62.3,1,44
"176","Lockdown-Travel Surge3",64.94,1,44
"177","Control",84.24,1,45
"178","Lockdown-No Surge",62.42,1,45
"179","Lockdown-Travel Surge2",63.24,1,45
"180","Lockdown-Travel Surge3",65.62,1,45
"181","Control",84.76,1,46
"182","Lockdown-No Surge",63.22,1,46
"183","Lockdown-Travel Surge2",63.86,1,46
"184","Lockdown-Travel Surge3",66.34,1,46
"185","Control",85.38,1,47
"186","Lockdown-No Surge",63.96,1,47
"187","Lockdown-Travel Surge2",64.72,1,47
"188","Lockdown-Travel Surge3",67.1,1,47
"189","Control",86.1,1,48
"190","Lockdown-No Surge",64.72,1,48
"191","Lockdown-Travel Surge2",65.66,1,48
"192","Lockdown-Travel Surge3",67.92,1,48
"193","Control",86.64,1,49
"194","Lockdown-No Surge",65.42,1,49
"195","Lockdown-Travel Surge2",66.7,1,49
"196","Lockdown-Travel Surge3",68.68,1,49
"197","Control",87.06,1,50
"198","Lockdown-No Surge",66.16,1,50
"199","Lockdown-Travel Surge2",67.44,1,50
"200","Lockdown-Travel Surge3",69.62,1,50
"201","Control",87.52,1,51
"202","Lockdown-No Surge",66.8,1,51
"203","Lockdown-Travel Surge2",68.08,1,51
"204","Lockdown-Travel Surge3",70.5,1,51
"205","Control",88.06,1,52
"206","Lockdown-No Surge",67.54,1,52
"207","Lockdown-Travel Surge2",68.9,1,52
"208","Lockdown-Travel Surge3",71.3,1,52
"209","Control",88.6,1,53
"210","Lockdown-No Surge",68.44,1,53
"211","Lockdown-Travel Surge2",69.58,1,53
"212","Lockdown-Travel Surge3",72.1,1,53
"213","Control",89.02,1,54
"214","Lockdown-No Surge",69.16,1,54
"215","Lockdown-Travel Surge2",70.28,1,54
"216","Lockdown-Travel Surge3",72.92,1,54
"217","Control",89.6,1,55
"218","Lockdown-No Surge",70.08,1,55
"219","Lockdown-Travel Surge2",71.24,1,55
"220","Lockdown-Travel Surge3",73.9,1,55
"221","Control",90.06,1,56
"222","Lockdown-No Surge",70.92,1,56
"223","Lockdown-Travel Surge2",72.16,1,56
"224","Lockdown-Travel Surge3",74.72,1,56
"225","Control",90.54,1,57
"226","Lockdown-No Surge",71.98,1,57
"227","Lockdown-Travel Surge2",73.06,1,57
"228","Lockdown-Travel Surge3",75.52,1,57
"229","Control",91.06,1,58
"230","Lockdown-No Surge",72.74,1,58
"231","Lockdown-Travel Surge2",73.98,1,58
"232","Lockdown-Travel Surge3",76.22,1,58
"233","Control",91.32,1,59
"234","Lockdown-No Surge",73.72,1,59
"235","Lockdown-Travel Surge2",74.72,1,59
"236","Lockdown-Travel Surge3",76.92,1,59
"237","Control",91.82,1,60
"238","Lockdown-No Surge",74.74,1,60
"239","Lockdown-Travel Surge2",75.84,1,60
"240","Lockdown-Travel Surge3",77.82,1,60
"241","Control",1,2,1
"242","Lockdown-No Surge",1,2,1
"243","Lockdown-Travel Surge2",1,2,1
"244","Lockdown-Travel Surge3",1,2,1
"245","Control",1,2,2
"246","Lockdown-No Surge",1,2,2
"247","Lockdown-Travel Surge2",1,2,2
"248","Lockdown-Travel Surge3",1,2,2
"249","Control",1,2,3
"250","Lockdown-No Surge",1,2,3
"251","Lockdown-Travel Surge2",1,2,3
"252","Lockdown-Travel Surge3",1,2,3
"253","Control",1.02,2,4
"254","Lockdown-No Surge",1,2,4
"255","Lockdown-Travel Surge2",1,2,4
"256","Lockdown-Travel Surge3",1,2,4
"257","Control",1.04,2,5
"258","Lockdown-No Surge",1,2,5
"259","Lockdown-Travel Surge2",1.04,2,5
"260","Lockdown-Travel Surge3",1,2,5
"261","Control",1.06,2,6
"262","Lockdown-No Surge",1,2,6
"263","Lockdown-Travel Surge2",1.06,2,6
"264","Lockdown-Travel Surge3",1.1,2,6
"265","Control",1.24,2,7
"266","Lockdown-No Surge",1.1,2,7
"267","Lockdown-Travel Surge2",1.12,2,7
"268","Lockdown-Travel Surge3",1.16,2,7
"269","Control",1.32,2,8
"270","Lockdown-No Surge",1.18,2,8
"271","Lockdown-Travel Surge2",1.22,2,8
"272","Lockdown-Travel Surge3",1.42,2,8
"273","Control",1.44,2,9
"274","Lockdown-No Surge",1.32,2,9
"275","Lockdown-Travel Surge2",1.48,2,9
"276","Lockdown-Travel Surge3",1.98,2,9
"277","Control",1.8,2,10
"278","Lockdown-No Surge",1.54,2,10
"279","Lockdown-Travel Surge2",2,2,10
"280","Lockdown-Travel Surge3",2.88,2,10
"281","Control",2.22,2,11
"282","Lockdown-No Surge",1.9,2,11
"283","Lockdown-Travel Surge2",2.74,2,11
"284","Lockdown-Travel Surge3",4.02,2,11
"285","Control",2.94,2,12
"286","Lockdown-No Surge",2.38,2,12
"287","Lockdown-Travel Surge2",3.64,2,12
"288","Lockdown-Travel Surge3",5.38,2,12
"289","Control",4.08,2,13
"290","Lockdown-No Surge",3,2,13
"291","Lockdown-Travel Surge2",4.8,2,13
"292","Lockdown-Travel Surge3",6.6,2,13
"293","Control",5.54,2,14
"294","Lockdown-No Surge",3.88,2,14
"295","Lockdown-Travel Surge2",6.04,2,14
"296","Lockdown-Travel Surge3",8.06,2,14
"297","Control",7.48,2,15
"298","Lockdown-No Surge",4.84,2,15
"299","Lockdown-Travel Surge2",7.2,2,15
"300","Lockdown-Travel Surge3",9.86,2,15
"301","Control",10.4,2,16
"302","Lockdown-No Surge",5.86,2,16
"303","Lockdown-Travel Surge2",8.2,2,16
"304","Lockdown-Travel Surge3",11.54,2,16
"305","Control",13.6,2,17
"306","Lockdown-No Surge",7.12,2,17
"307","Lockdown-Travel Surge2",9.4,2,17
"308","Lockdown-Travel Surge3",13.06,2,17
"309","Control",16.9,2,18
"310","Lockdown-No Surge",8.8,2,18
"311","Lockdown-Travel Surge2",10.9,2,18
"312","Lockdown-Travel Surge3",14.54,2,18
"313","Control",20.64,2,19
"314","Lockdown-No Surge",10.66,2,19
"315","Lockdown-Travel Surge2",12.52,2,19
"316","Lockdown-Travel Surge3",16.18,2,19
"317","Control",24.2,2,20
"318","Lockdown-No Surge",12.3,2,20
"319","Lockdown-Travel Surge2",14.2,2,20
"320","Lockdown-Travel Surge3",17.94,2,20
"321","Control",28,2,21
"322","Lockdown-No Surge",14.2,2,21
"323","Lockdown-Travel Surge2",16.18,2,21
"324","Lockdown-Travel Surge3",19.4,2,21
"325","Control",31.96,2,22
"326","Lockdown-No Surge",16.22,2,22
"327","Lockdown-Travel Surge2",18.14,2,22
"328","Lockdown-Travel Surge3",21.18,2,22
"329","Control",35.84,2,23
"330","Lockdown-No Surge",18.38,2,23
"331","Lockdown-Travel Surge2",20.16,2,23
"332","Lockdown-Travel Surge3",23.24,2,23
"333","Control",39.2,2,24
"334","Lockdown-No Surge",20.6,2,24
"335","Lockdown-Travel Surge2",22.14,2,24
"336","Lockdown-Travel Surge3",25.28,2,24
"337","Control",42.82,2,25
"338","Lockdown-No Surge",23.06,2,25
"339","Lockdown-Travel Surge2",24.12,2,25
"340","Lockdown-Travel Surge3",27.24,2,25
"341","Control",46.42,2,26
"342","Lockdown-No Surge",25.34,2,26
"343","Lockdown-Travel Surge2",26.26,2,26
"344","Lockdown-Travel Surge3",29.32,2,26
"345","Control",49.32,2,27
"346","Lockdown-No Surge",27.06,2,27
"347","Lockdown-Travel Surge2",28.42,2,27
"348","Lockdown-Travel Surge3",31.64,2,27
"349","Control",52.26,2,28
"350","Lockdown-No Surge",29.2,2,28
"351","Lockdown-Travel Surge2",30.32,2,28
"352","Lockdown-Travel Surge3",33.54,2,28
"353","Control",54.96,2,29
"354","Lockdown-No Surge",31.2,2,29
"355","Lockdown-Travel Surge2",32.52,2,29
"356","Lockdown-Travel Surge3",35.52,2,29
"357","Control",57.5,2,30
"358","Lockdown-No Surge",33.26,2,30
"359","Lockdown-Travel Surge2",34.4,2,30
"360","Lockdown-Travel Surge3",37.4,2,30
"361","Control",59.82,2,31
"362","Lockdown-No Surge",35,2,31
"363","Lockdown-Travel Surge2",36.16,2,31
"364","Lockdown-Travel Surge3",38.88,2,31
"365","Control",61.7,2,32
"366","Lockdown-No Surge",36.92,2,32
"367","Lockdown-Travel Surge2",37.78,2,32
"368","Lockdown-Travel Surge3",40.14,2,32
"369","Control",63.66,2,33
"370","Lockdown-No Surge",38.76,2,33
"371","Lockdown-Travel Surge2",39.46,2,33
"372","Lockdown-Travel Surge3",42,2,33
"373","Control",65.46,2,34
"374","Lockdown-No Surge",40.08,2,34
"375","Lockdown-Travel Surge2",41.12,2,34
"376","Lockdown-Travel Surge3",43.58,2,34
"377","Control",66.86,2,35
"378","Lockdown-No Surge",41.78,2,35
"379","Lockdown-Travel Surge2",42.74,2,35
"380","Lockdown-Travel Surge3",45.08,2,35
"381","Control",68.08,2,36
"382","Lockdown-No Surge",43.32,2,36
"383","Lockdown-Travel Surge2",44.28,2,36
"384","Lockdown-Travel Surge3",46.5,2,36
"385","Control",69.2,2,37
"386","Lockdown-No Surge",44.42,2,37
"387","Lockdown-Travel Surge2",45.66,2,37
"388","Lockdown-Travel Surge3",47.74,2,37
"389","Control",70.42,2,38
"390","Lockdown-No Surge",45.96,2,38
"391","Lockdown-Travel Surge2",47.12,2,38
"392","Lockdown-Travel Surge3",48.86,2,38
"393","Control",71.7,2,39
"394","Lockdown-No Surge",47.26,2,39
"395","Lockdown-Travel Surge2",48.42,2,39
"396","Lockdown-Travel Surge3",50.38,2,39
"397","Control",72.88,2,40
"398","Lockdown-No Surge",48.52,2,40
"399","Lockdown-Travel Surge2",49.68,2,40
"400","Lockdown-Travel Surge3",51.54,2,40
"401","Control",73.82,2,41
"402","Lockdown-No Surge",49.56,2,41
"403","Lockdown-Travel Surge2",50.54,2,41
"404","Lockdown-Travel Surge3",52.76,2,41
"405","Control",74.9,2,42
"406","Lockdown-No Surge",50.74,2,42
"407","Lockdown-Travel Surge2",51.7,2,42
"408","Lockdown-Travel Surge3",53.82,2,42
"409","Control",75.76,2,43
"410","Lockdown-No Surge",51.9,2,43
"411","Lockdown-Travel Surge2",52.66,2,43
"412","Lockdown-Travel Surge3",54.74,2,43
"413","Control",76.56,2,44
"414","Lockdown-No Surge",52.64,2,44
"415","Lockdown-Travel Surge2",53.46,2,44
"416","Lockdown-Travel Surge3",55.62,2,44
"417","Control",77.4,2,45
"418","Lockdown-No Surge",53.76,2,45
"419","Lockdown-Travel Surge2",54.48,2,45
"420","Lockdown-Travel Surge3",56.44,2,45
"421","Control",78.22,2,46
"422","Lockdown-No Surge",54.92,2,46
"423","Lockdown-Travel Surge2",55.52,2,46
"424","Lockdown-Travel Surge3",57.54,2,46
"425","Control",79.16,2,47
"426","Lockdown-No Surge",55.86,2,47
"427","Lockdown-Travel Surge2",56.4,2,47
"428","Lockdown-Travel Surge3",58.42,2,47
"429","Control",79.98,2,48
"430","Lockdown-No Surge",56.88,2,48
"431","Lockdown-Travel Surge2",56.96,2,48
"432","Lockdown-Travel Surge3",59.38,2,48
"433","Control",80.82,2,49
"434","Lockdown-No Surge",57.68,2,49
"435","Lockdown-Travel Surge2",57.8,2,49
"436","Lockdown-Travel Surge3",60.22,2,49
"437","Control",81.36,2,50
"438","Lockdown-No Surge",58.46,2,50
"439","Lockdown-Travel Surge2",58.66,2,50
"440","Lockdown-Travel Surge3",61,2,50
"441","Control",81.98,2,51
"442","Lockdown-No Surge",59.06,2,51
"443","Lockdown-Travel Surge2",59.56,2,51
"444","Lockdown-Travel Surge3",61.68,2,51
"445","Control",82.5,2,52
"446","Lockdown-No Surge",59.82,2,52
"447","Lockdown-Travel Surge2",60.58,2,52
"448","Lockdown-Travel Surge3",62.5,2,52
"449","Control",83.2,2,53
"450","Lockdown-No Surge",60.64,2,53
"451","Lockdown-Travel Surge2",61.36,2,53
"452","Lockdown-Travel Surge3",63.42,2,53
"453","Control",83.86,2,54
"454","Lockdown-No Surge",61.32,2,54
"455","Lockdown-Travel Surge2",62.24,2,54
"456","Lockdown-Travel Surge3",64.28,2,54
"457","Control",84.48,2,55
"458","Lockdown-No Surge",62.04,2,55
"459","Lockdown-Travel Surge2",63,2,55
"460","Lockdown-Travel Surge3",65.18,2,55
"461","Control",85.1,2,56
"462","Lockdown-No Surge",62.98,2,56
"463","Lockdown-Travel Surge2",63.84,2,56
"464","Lockdown-Travel Surge3",66.28,2,56
"465","Control",85.68,2,57
"466","Lockdown-No Surge",64.02,2,57
"467","Lockdown-Travel Surge2",64.66,2,57
"468","Lockdown-Travel Surge3",67.16,2,57
"469","Control",86.5,2,58
"470","Lockdown-No Surge",64.82,2,58
"471","Lockdown-Travel Surge2",65.62,2,58
"472","Lockdown-Travel Surge3",67.98,2,58
"473","Control",87.08,2,59
"474","Lockdown-No Surge",65.58,2,59
"475","Lockdown-Travel Surge2",66.54,2,59
"476","Lockdown-Travel Surge3",68.7,2,59
"477","Control",87.66,2,60
"478","Lockdown-No Surge",66.48,2,60
"479","Lockdown-Travel Surge2",67.4,2,60
"480","Lockdown-Travel Surge3",69.5,2,60
"481","Control",1,5,1
"482","Lockdown-No Surge",1,5,1
"483","Lockdown-Travel Surge2",1,5,1
"484","Lockdown-Travel Surge3",1,5,1
"485","Control",1,5,2
"486","Lockdown-No Surge",1,5,2
"487","Lockdown-Travel Surge2",1,5,2
"488","Lockdown-Travel Surge3",1,5,2
"489","Control",1,5,3
"490","Lockdown-No Surge",1,5,3
"491","Lockdown-Travel Surge2",1,5,3
"492","Lockdown-Travel Surge3",1,5,3
"493","Control",1,5,4
"494","Lockdown-No Surge",1,5,4
"495","Lockdown-Travel Surge2",1,5,4
"496","Lockdown-Travel Surge3",1,5,4
"497","Control",1,5,5
"498","Lockdown-No Surge",1,5,5
"499","Lockdown-Travel Surge2",1,5,5
"500","Lockdown-Travel Surge3",1,5,5
"501","Control",1,5,6
"502","Lockdown-No Surge",1,5,6
"503","Lockdown-Travel Surge2",1,5,6
"504","Lockdown-Travel Surge3",1,5,6
"505","Control",1.02,5,7
"506","Lockdown-No Surge",1,5,7
"507","Lockdown-Travel Surge2",1,5,7
"508","Lockdown-Travel Surge3",1,5,7
"509","Control",1.02,5,8
"510","Lockdown-No Surge",1,5,8
"511","Lockdown-Travel Surge2",1.02,5,8
"512","Lockdown-Travel Surge3",1.02,5,8
"513","Control",1.02,5,9
"514","Lockdown-No Surge",1,5,9
"515","Lockdown-Travel Surge2",1.02,5,9
"516","Lockdown-Travel Surge3",1.06,5,9
"517","Control",1.02,5,10
"518","Lockdown-No Surge",1.02,5,10
"519","Lockdown-Travel Surge2",1.02,5,10
"520","Lockdown-Travel Surge3",1.1,5,10
"521","Control",1.04,5,11
"522","Lockdown-No Surge",1.08,5,11
"523","Lockdown-Travel Surge2",1.08,5,11
"524","Lockdown-Travel Surge3",1.22,5,11
"525","Control",1.12,5,12
"526","Lockdown-No Surge",1.12,5,12
"527","Lockdown-Travel Surge2",1.22,5,12
"528","Lockdown-Travel Surge3",1.42,5,12
"529","Control",1.28,5,13
"530","Lockdown-No Surge",1.12,5,13
"531","Lockdown-Travel Surge2",1.36,5,13
"532","Lockdown-Travel Surge3",1.74,5,13
"533","Control",1.68,5,14
"534","Lockdown-No Surge",1.34,5,14
"535","Lockdown-Travel Surge2",1.48,5,14
"536","Lockdown-Travel Surge3",2.18,5,14
"537","Control",2.14,5,15
"538","Lockdown-No Surge",1.44,5,15
"539","Lockdown-Travel Surge2",1.92,5,15
"540","Lockdown-Travel Surge3",2.62,5,15
"541","Control",3.18,5,16
"542","Lockdown-No Surge",1.74,5,16
"543","Lockdown-Travel Surge2",2.32,5,16
"544","Lockdown-Travel Surge3",3.38,5,16
"545","Control",4,5,17
"546","Lockdown-No Surge",2.04,5,17
"547","Lockdown-Travel Surge2",2.94,5,17
"548","Lockdown-Travel Surge3",4,5,17
"549","Control",5.42,5,18
"550","Lockdown-No Surge",2.52,5,18
"551","Lockdown-Travel Surge2",3.58,5,18
"552","Lockdown-Travel Surge3",5.08,5,18
"553","Control",6.84,5,19
"554","Lockdown-No Surge",3.26,5,19
"555","Lockdown-Travel Surge2",4.54,5,19
"556","Lockdown-Travel Surge3",6.02,5,19
"557","Control",8.58,5,20
"558","Lockdown-No Surge",3.9,5,20
"559","Lockdown-Travel Surge2",5.42,5,20
"560","Lockdown-Travel Surge3",6.92,5,20
"561","Control",11.08,5,21
"562","Lockdown-No Surge",4.8,5,21
"563","Lockdown-Travel Surge2",6.32,5,21
"564","Lockdown-Travel Surge3",8.06,5,21
"565","Control",12.86,5,22
"566","Lockdown-No Surge",5.84,5,22
"567","Lockdown-Travel Surge2",7.32,5,22
"568","Lockdown-Travel Surge3",9.72,5,22
"569","Control",15.64,5,23
"570","Lockdown-No Surge",6.98,5,23
"571","Lockdown-Travel Surge2",8.36,5,23
"572","Lockdown-Travel Surge3",11.12,5,23
"573","Control",18.52,5,24
"574","Lockdown-No Surge",8.36,5,24
"575","Lockdown-Travel Surge2",9.44,5,24
"576","Lockdown-Travel Surge3",12.42,5,24
"577","Control",21.42,5,25
"578","Lockdown-No Surge",9.84,5,25
"579","Lockdown-Travel Surge2",11.34,5,25
"580","Lockdown-Travel Surge3",13.66,5,25
"581","Control",24.28,5,26
"582","Lockdown-No Surge",11.26,5,26
"583","Lockdown-Travel Surge2",12.6,5,26
"584","Lockdown-Travel Surge3",15.18,5,26
"585","Control",26.86,5,27
"586","Lockdown-No Surge",12.74,5,27
"587","Lockdown-Travel Surge2",13.98,5,27
"588","Lockdown-Travel Surge3",16.78,5,27
"589","Control",29.88,5,28
"590","Lockdown-No Surge",14.34,5,28
"591","Lockdown-Travel Surge2",15.76,5,28
"592","Lockdown-Travel Surge3",18.44,5,28
"593","Control",32.7,5,29
"594","Lockdown-No Surge",16.14,5,29
"595","Lockdown-Travel Surge2",17.2,5,29
"596","Lockdown-Travel Surge3",20.06,5,29
"597","Control",35.7,5,30
"598","Lockdown-No Surge",18.12,5,30
"599","Lockdown-Travel Surge2",18.98,5,30
"600","Lockdown-Travel Surge3",21.9,5,30
"601","Control",38.44,5,31
"602","Lockdown-No Surge",19.96,5,31
"603","Lockdown-Travel Surge2",20.64,5,31
"604","Lockdown-Travel Surge3",23.42,5,31
"605","Control",40.96,5,32
"606","Lockdown-No Surge",21.78,5,32
"607","Lockdown-Travel Surge2",22.2,5,32
"608","Lockdown-Travel Surge3",25.18,5,32
"609","Control",43.36,5,33
"610","Lockdown-No Surge",23.52,5,33
"611","Lockdown-Travel Surge2",24,5,33
"612","Lockdown-Travel Surge3",26.94,5,33
"613","Control",45.82,5,34
"614","Lockdown-No Surge",25.04,5,34
"615","Lockdown-Travel Surge2",25.78,5,34
"616","Lockdown-Travel Surge3",28.38,5,34
"617","Control",48.36,5,35
"618","Lockdown-No Surge",26.76,5,35
"619","Lockdown-Travel Surge2",27.7,5,35
"620","Lockdown-Travel Surge3",29.96,5,35
"621","Control",50.74,5,36
"622","Lockdown-No Surge",28.18,5,36
"623","Lockdown-Travel Surge2",29,5,36
"624","Lockdown-Travel Surge3",31.58,5,36
"625","Control",52.6,5,37
"626","Lockdown-No Surge",30.02,5,37
"627","Lockdown-Travel Surge2",30.78,5,37
"628","Lockdown-Travel Surge3",32.72,5,37
"629","Control",54.34,5,38
"630","Lockdown-No Surge",31.58,5,38
"631","Lockdown-Travel Surge2",32.14,5,38
"632","Lockdown-Travel Surge3",34.08,5,38
"633","Control",56.4,5,39
"634","Lockdown-No Surge",33,5,39
"635","Lockdown-Travel Surge2",33.42,5,39
"636","Lockdown-Travel Surge3",35.68,5,39
"637","Control",58.24,5,40
"638","Lockdown-No Surge",34.5,5,40
"639","Lockdown-Travel Surge2",34.98,5,40
"640","Lockdown-Travel Surge3",36.84,5,40
"641","Control",59.66,5,41
"642","Lockdown-No Surge",35.96,5,41
"643","Lockdown-Travel Surge2",36.32,5,41
"644","Lockdown-Travel Surge3",38.36,5,41
"645","Control",61.5,5,42
"646","Lockdown-No Surge",37.26,5,42
"647","Lockdown-Travel Surge2",37.5,5,42
"648","Lockdown-Travel Surge3",39.9,5,42
"649","Control",62.72,5,43
"650","Lockdown-No Surge",38.78,5,43
"651","Lockdown-Travel Surge2",38.82,5,43
"652","Lockdown-Travel Surge3",41.48,5,43
"653","Control",64.18,5,44
"654","Lockdown-No Surge",39.82,5,44
"655","Lockdown-Travel Surge2",39.92,5,44
