"","ncomm","sim_type","i","j"
"335",98,"lockdown, no surge",2,52
"336",100,"lockdown, surge",2,52
"337",100,"control",2,53
"338",99,"lockdown, no surge",2,53
"339",100,"lockdown, surge",2,53
"340",100,"control",2,54
"341",99,"lockdown, no surge",2,54
"342",100,"lockdown, surge",2,54
"343",100,"control",2,55
"344",99,"lockdown, no surge",2,55
"345",100,"lockdown, surge",2,55
"346",100,"control",2,56
"347",99,"lockdown, no surge",2,56
"348",100,"lockdown, surge",2,56
"349",100,"control",2,57
"350",99,"lockdown, no surge",2,57
"351",100,"lockdown, surge",2,57
"352",100,"control",2,58
"353",99,"lockdown, no surge",2,58
"354",100,"lockdown, surge",2,58
"355",100,"control",2,59
"356",99,"lockdown, no surge",2,59
"357",100,"lockdown, surge",2,59
"358",100,"control",2,60
"359",100,"lockdown, no surge",2,60
"360",100,"lockdown, surge",2,60
"361",1,"control",3,1
"362",1,"lockdown, no surge",3,1
"363",1,"lockdown, surge",3,1
"364",1,"control",3,2
"365",1,"lockdown, no surge",3,2
"366",1,"lockdown, surge",3,2
"367",1,"control",3,3
"368",1,"lockdown, no surge",3,3
"369",1,"lockdown, surge",3,3
"370",1,"control",3,4
"371",1,"lockdown, no surge",3,4
"372",1,"lockdown, surge",3,4
"373",1,"control",3,5
"374",1,"lockdown, no surge",3,5
"375",1,"lockdown, surge",3,5
"376",1,"control",3,6
"377",1,"lockdown, no surge",3,6
"378",1,"lockdown, surge",3,6
"379",1,"control",3,7
"380",1,"lockdown, no surge",3,7
"381",1,"lockdown, surge",3,7
"382",1,"control",3,8
"383",1,"lockdown, no surge",3,8
"384",1,"lockdown, surge",3,8
"385",1,"control",3,9
"386",2,"lockdown, no surge",3,9
"387",1,"lockdown, surge",3,9
"388",1,"control",3,10
"389",3,"lockdown, no surge",3,10
"390",1,"lockdown, surge",3,10
"391",3,"control",3,11
"392",3,"lockdown, no surge",3,11
"393",3,"lockdown, surge",3,11
"394",4,"control",3,12
"395",3,"lockdown, no surge",3,12
"396",5,"lockdown, surge",3,12
"397",8,"control",3,13
"398",5,"lockdown, no surge",3,13
"399",6,"lockdown, surge",3,13
"400",12,"control",3,14
"401",6,"lockdown, no surge",3,14
"402",10,"lockdown, surge",3,14
"403",21,"control",3,15
"404",7,"lockdown, no surge",3,15
"405",14,"lockdown, surge",3,15
"406",28,"control",3,16
"407",13,"lockdown, no surge",3,16
"408",19,"lockdown, surge",3,16
"409",37,"control",3,17
"410",19,"lockdown, no surge",3,17
"411",25,"lockdown, surge",3,17
"412",43,"control",3,18
"413",21,"lockdown, no surge",3,18
"414",33,"lockdown, surge",3,18
"415",46,"control",3,19
"416",30,"lockdown, no surge",3,19
"417",42,"lockdown, surge",3,19
"418",54,"control",3,20
"419",33,"lockdown, no surge",3,20
"420",49,"lockdown, surge",3,20
"421",66,"control",3,21
"422",34,"lockdown, no surge",3,21
"423",52,"lockdown, surge",3,21
"424",72,"control",3,22
"425",38,"lockdown, no surge",3,22
"426",56,"lockdown, surge",3,22
"427",81,"control",3,23
"428",41,"lockdown, no surge",3,23
"429",59,"lockdown, surge",3,23
"430",85,"control",3,24
"431",46,"lockdown, no surge",3,24
"432",62,"lockdown, surge",3,24
"433",91,"control",3,25
"434",56,"lockdown, no surge",3,25
"435",68,"lockdown, surge",3,25
"436",91,"control",3,26
"437",60,"lockdown, no surge",3,26
"438",71,"lockdown, surge",3,26
"439",92,"control",3,27
"440",70,"lockdown, no surge",3,27
"441",73,"lockdown, surge",3,27
"442",93,"control",3,28
"443",71,"lockdown, no surge",3,28
"444",74,"lockdown, surge",3,28
"445",96,"control",3,29
"446",74,"lockdown, no surge",3,29
"447",77,"lockdown, surge",3,29
"448",98,"control",3,30
"449",75,"lockdown, no surge",3,30
"450",79,"lockdown, surge",3,30
"451",99,"control",3,31
"452",77,"lockdown, no surge",3,31
"453",80,"lockdown, surge",3,31
"454",99,"control",3,32
"455",80,"lockdown, no surge",3,32
"456",81,"lockdown, surge",3,32
"457",99,"control",3,33
"458",85,"lockdown, no surge",3,33
"459",84,"lockdown, surge",3,33
"460",99,"control",3,34
"461",86,"lockdown, no surge",3,34
"462",86,"lockdown, surge",3,34
"463",99,"control",3,35
"464",88,"lockdown, no surge",3,35
"465",88,"lockdown, surge",3,35
"466",99,"control",3,36
"467",88,"lockdown, no surge",3,36
"468",92,"lockdown, surge",3,36
"469",100,"control",3,37
"470",90,"lockdown, no surge",3,37
"471",94,"lockdown, surge",3,37
"472",100,"control",3,38
"473",91,"lockdown, no surge",3,38
"474",94,"lockdown, surge",3,38
"475",100,"control",3,39
"476",91,"lockdown, no surge",3,39
"477",94,"lockdown, surge",3,39
"478",100,"control",3,40
"479",94,"lockdown, no surge",3,40
"480",94,"lockdown, surge",3,40
"481",100,"control",3,41
"482",95,"lockdown, no surge",3,41
"483",94,"lockdown, surge",3,41
"484",100,"control",3,42
"485",95,"lockdown, no surge",3,42
"486",94,"lockdown, surge",3,42
"487",100,"control",3,43
"488",95,"lockdown, no surge",3,43
"489",95,"lockdown, surge",3,43
"490",100,"control",3,44
"491",95,"lockdown, no surge",3,44
"492",96,"lockdown, surge",3,44
"493",100,"control",3,45
"494",95,"lockdown, no surge",3,45
"495",97,"lockdown, surge",3,45
"496",100,"control",3,46
"497",96,"lockdown, no surge",3,46
"498",97,"lockdown, surge",3,46
"499",100,"control",3,47
"500",96,"lockdown, no surge",3,47
"501",98,"lockdown, surge",3,47
"502",100,"control",3,48
"503",96,"lockdown, no surge",3,48
"504",98,"lockdown, surge",3,48
"505",100,"control",3,49
"506",96,"lockdown, no surge",3,49
"507",98,"lockdown, surge",3,49
"508",100,"control",3,50
"509",96,"lockdown, no surge",3,50
"510",98,"lockdown, surge",3,50
"511",100,"control",3,51
"512",96,"lockdown, no surge",3,51
"513",98,"lockdown, surge",3,51
"514",100,"control",3,52
"515",96,"lockdown, no surge",3,52
"516",99,"lockdown, surge",3,52
"517",100,"control",3,53
"518",98,"lockdown, no surge",3,53
"519",99,"lockdown, surge",3,53
"520",100,"control",3,54
"521",99,"lockdown, no surge",3,54
"522",99,"lockdown, surge",3,54
"523",100,"control",3,55
"524",99,"lockdown, no surge",3,55
"525",99,"lockdown, surge",3,55
"526",100,"control",3,56
"527",99,"lockdown, no surge",3,56
"528",99,"lockdown, surge",3,56
"529",100,"control",3,57
"530",99,"lockdown, no surge",3,57
"531",99,"lockdown, surge",3,57
"532",100,"control",3,58
"533",99,"lockdown, no surge",3,58
"534",99,"lockdown, surge",3,58
"535",100,"control",3,59
"536",99,"lockdown, no surge",3,59
"537",99,"lockdown, surge",3,59
"538",100,"control",3,60
"539",99,"lockdown, no surge",3,60
"540",99,"lockdown, surge",3,60
"541",1,"control",4,1
"542",1,"lockdown, no surge",4,1
"543",1,"lockdown, surge",4,1
"544",1,"control",4,2
"545",1,"lockdown, no surge",4,2
"546",1,"lockdown, surge",4,2
"547",1,"control",4,3
"548",1,"lockdown, no surge",4,3
"549",1,"lockdown, surge",4,3
"550",1,"control",4,4
"551",1,"lockdown, no surge",4,4
"552",1,"lockdown, surge",4,4
"553",1,"control",4,5
"554",1,"lockdown, no surge",4,5
"555",1,"lockdown, surge",4,5
"556",1,"control",4,6
"557",1,"lockdown, no surge",4,6
"558",1,"lockdown, surge",4,6
"559",1,"control",4,7
"560",1,"lockdown, no surge",4,7
"561",1,"lockdown, surge",4,7
"562",1,"control",4,8
"563",1,"lockdown, no surge",4,8
"564",1,"lockdown, surge",4,8
"565",1,"control",4,9
"566",1,"lockdown, no surge",4,9
"567",1,"lockdown, surge",4,9
"568",1,"control",4,10
"569",2,"lockdown, no surge",4,10
"570",1,"lockdown, surge",4,10
"571",1,"control",4,11
"572",2,"lockdown, no surge",4,11
"573",1,"lockdown, surge",4,11
"574",2,"control",4,12
"575",2,"lockdown, no surge",4,12
"576",1,"lockdown, surge",4,12
"577",3,"control",4,13
"578",2,"lockdown, no surge",4,13
"579",2,"lockdown, surge",4,13
"580",5,"control",4,14
"581",3,"lockdown, no surge",4,14
"582",4,"lockdown, surge",4,14
"583",7,"control",4,15
"584",4,"lockdown, no surge",4,15
"585",5,"lockdown, surge",4,15
"586",10,"control",4,16
"587",5,"lockdown, no surge",4,16
"588",7,"lockdown, surge",4,16
"589",18,"control",4,17
"590",8,"lockdown, no surge",4,17
"591",14,"lockdown, surge",4,17
"592",27,"control",4,18
"593",14,"lockdown, no surge",4,18
"594",20,"lockdown, surge",4,18
"595",37,"control",4,19
"596",18,"lockdown, no surge",4,19
"597",26,"lockdown, surge",4,19
"598",46,"control",4,20
"599",24,"lockdown, no surge",4,20
"600",35,"lockdown, surge",4,20
"601",53,"control",4,21
"602",27,"lockdown, no surge",4,21
"603",43,"lockdown, surge",4,21
"604",61,"control",4,22
"605",30,"lockdown, no surge",4,22
"606",50,"lockdown, surge",4,22
"607",70,"control",4,23
"608",33,"lockdown, no surge",4,23
"609",52,"lockdown, surge",4,23
"610",75,"control",4,24
"611",37,"lockdown, no surge",4,24
"612",54,"lockdown, surge",4,24
"613",81,"control",4,25
"614",39,"lockdown, no surge",4,25
"615",58,"lockdown, surge",4,25
"616",87,"control",4,26
"617",45,"lockdown, no surge",4,26
"618",62,"lockdown, surge",4,26
"619",90,"control",4,27
"620",52,"lockdown, no surge",4,27
"621",66,"lockdown, surge",4,27
"622",92,"control",4,28
