"","ncomm","sim_type","i","j"
"358",100,"control",2,60
"359",97,"lockdown, no surge",2,60
"360",96,"lockdown, surge",2,60
"361",1,"control",3,1
"362",1,"lockdown, no surge",3,1
"363",1,"lockdown, surge",3,1
"364",1,"control",3,2
"365",1,"lockdown, no surge",3,2
"366",1,"lockdown, surge",3,2
"367",1,"control",3,3
"368",1,"lockdown, no surge",3,3
"369",1,"lockdown, surge",3,3
"370",1,"control",3,4
"371",1,"lockdown, no surge",3,4
"372",1,"lockdown, surge",3,4
"373",1,"control",3,5
"374",1,"lockdown, no surge",3,5
"375",1,"lockdown, surge",3,5
"376",1,"control",3,6
"377",1,"lockdown, no surge",3,6
"378",1,"lockdown, surge",3,6
"379",1,"control",3,7
"380",1,"lockdown, no surge",3,7
"381",1,"lockdown, surge",3,7
"382",1,"control",3,8
"383",1,"lockdown, no surge",3,8
"384",1,"lockdown, surge",3,8
"385",1,"control",3,9
"386",1,"lockdown, no surge",3,9
"387",2,"lockdown, surge",3,9
"388",1,"control",3,10
"389",1,"lockdown, no surge",3,10
"390",2,"lockdown, surge",3,10
"391",3,"control",3,11
"392",1,"lockdown, no surge",3,11
"393",3,"lockdown, surge",3,11
"394",4,"control",3,12
"395",1,"lockdown, no surge",3,12
"396",4,"lockdown, surge",3,12
"397",8,"control",3,13
"398",3,"lockdown, no surge",3,13
"399",5,"lockdown, surge",3,13
"400",12,"control",3,14
"401",3,"lockdown, no surge",3,14
"402",6,"lockdown, surge",3,14
"403",21,"control",3,15
"404",5,"lockdown, no surge",3,15
"405",9,"lockdown, surge",3,15
"406",28,"control",3,16
"407",7,"lockdown, no surge",3,16
"408",15,"lockdown, surge",3,16
"409",37,"control",3,17
"410",9,"lockdown, no surge",3,17
"411",16,"lockdown, surge",3,17
"412",43,"control",3,18
"413",13,"lockdown, no surge",3,18
"414",23,"lockdown, surge",3,18
"415",46,"control",3,19
"416",16,"lockdown, no surge",3,19
"417",25,"lockdown, surge",3,19
"418",54,"control",3,20
"419",21,"lockdown, no surge",3,20
"420",26,"lockdown, surge",3,20
"421",66,"control",3,21
"422",23,"lockdown, no surge",3,21
"423",30,"lockdown, surge",3,21
"424",72,"control",3,22
"425",29,"lockdown, no surge",3,22
"426",33,"lockdown, surge",3,22
"427",81,"control",3,23
"428",34,"lockdown, no surge",3,23
"429",34,"lockdown, surge",3,23
"430",85,"control",3,24
"431",44,"lockdown, no surge",3,24
"432",37,"lockdown, surge",3,24
"433",91,"control",3,25
"434",50,"lockdown, no surge",3,25
"435",43,"lockdown, surge",3,25
"436",91,"control",3,26
"437",53,"lockdown, no surge",3,26
"438",47,"lockdown, surge",3,26
"439",92,"control",3,27
"440",58,"lockdown, no surge",3,27
"441",50,"lockdown, surge",3,27
"442",93,"control",3,28
"443",59,"lockdown, no surge",3,28
"444",56,"lockdown, surge",3,28
"445",96,"control",3,29
"446",63,"lockdown, no surge",3,29
"447",61,"lockdown, surge",3,29
"448",98,"control",3,30
"449",67,"lockdown, no surge",3,30
"450",66,"lockdown, surge",3,30
"451",99,"control",3,31
"452",71,"lockdown, no surge",3,31
"453",70,"lockdown, surge",3,31
"454",99,"control",3,32
"455",74,"lockdown, no surge",3,32
"456",74,"lockdown, surge",3,32
"457",99,"control",3,33
"458",78,"lockdown, no surge",3,33
"459",75,"lockdown, surge",3,33
"460",99,"control",3,34
"461",81,"lockdown, no surge",3,34
"462",78,"lockdown, surge",3,34
"463",99,"control",3,35
"464",84,"lockdown, no surge",3,35
"465",80,"lockdown, surge",3,35
"466",99,"control",3,36
"467",85,"lockdown, no surge",3,36
"468",81,"lockdown, surge",3,36
"469",100,"control",3,37
"470",85,"lockdown, no surge",3,37
"471",83,"lockdown, surge",3,37
"472",100,"control",3,38
"473",86,"lockdown, no surge",3,38
"474",84,"lockdown, surge",3,38
"475",100,"control",3,39
"476",86,"lockdown, no surge",3,39
"477",87,"lockdown, surge",3,39
"478",100,"control",3,40
"479",89,"lockdown, no surge",3,40
"480",87,"lockdown, surge",3,40
"481",100,"control",3,41
"482",90,"lockdown, no surge",3,41
"483",88,"lockdown, surge",3,41
"484",100,"control",3,42
"485",91,"lockdown, no surge",3,42
"486",89,"lockdown, surge",3,42
"487",100,"control",3,43
"488",93,"lockdown, no surge",3,43
"489",91,"lockdown, surge",3,43
"490",100,"control",3,44
"491",93,"lockdown, no surge",3,44
"492",92,"lockdown, surge",3,44
"493",100,"control",3,45
"494",93,"lockdown, no surge",3,45
"495",92,"lockdown, surge",3,45
"496",100,"control",3,46
"497",93,"lockdown, no surge",3,46
"498",92,"lockdown, surge",3,46
"499",100,"control",3,47
"500",94,"lockdown, no surge",3,47
"501",92,"lockdown, surge",3,47
"502",100,"control",3,48
"503",94,"lockdown, no surge",3,48
"504",92,"lockdown, surge",3,48
"505",100,"control",3,49
"506",94,"lockdown, no surge",3,49
"507",92,"lockdown, surge",3,49
"508",100,"control",3,50
"509",94,"lockdown, no surge",3,50
"510",93,"lockdown, surge",3,50
"511",100,"control",3,51
"512",94,"lockdown, no surge",3,51
"513",93,"lockdown, surge",3,51
"514",100,"control",3,52
"515",94,"lockdown, no surge",3,52
"516",93,"lockdown, surge",3,52
"517",100,"control",3,53
"518",94,"lockdown, no surge",3,53
"519",93,"lockdown, surge",3,53
"520",100,"control",3,54
"521",94,"lockdown, no surge",3,54
"522",93,"lockdown, surge",3,54
"523",100,"control",3,55
"524",94,"lockdown, no surge",3,55
"525",93,"lockdown, surge",3,55
"526",100,"control",3,56
"527",95,"lockdown, no surge",3,56
"528",93,"lockdown, surge",3,56
"529",100,"control",3,57
"530",96,"lockdown, no surge",3,57
"531",93,"lockdown, surge",3,57
"532",100,"control",3,58
"533",96,"lockdown, no surge",3,58
"534",94,"lockdown, surge",3,58
"535",100,"control",3,59
"536",96,"lockdown, no surge",3,59
"537",95,"lockdown, surge",3,59
"538",100,"control",3,60
"539",96,"lockdown, no surge",3,60
"540",95,"lockdown, surge",3,60
"541",1,"control",4,1
"542",1,"lockdown, no surge",4,1
"543",1,"lockdown, surge",4,1
"544",1,"control",4,2
"545",1,"lockdown, no surge",4,2
"546",1,"lockdown, surge",4,2
"547",1,"control",4,3
"548",1,"lockdown, no surge",4,3
"549",1,"lockdown, surge",4,3
"550",1,"control",4,4
"551",1,"lockdown, no surge",4,4
"552",1,"lockdown, surge",4,4
"553",1,"control",4,5
"554",1,"lockdown, no surge",4,5
"555",1,"lockdown, surge",4,5
"556",1,"control",4,6
"557",1,"lockdown, no surge",4,6
"558",1,"lockdown, surge",4,6
"559",1,"control",4,7
"560",1,"lockdown, no surge",4,7
"561",1,"lockdown, surge",4,7
"562",1,"control",4,8
"563",1,"lockdown, no surge",4,8
"564",1,"lockdown, surge",4,8
"565",1,"control",4,9
"566",1,"lockdown, no surge",4,9
"567",1,"lockdown, surge",4,9
"568",1,"control",4,10
"569",1,"lockdown, no surge",4,10
"570",1,"lockdown, surge",4,10
"571",1,"control",4,11
"572",1,"lockdown, no surge",4,11
"573",2,"lockdown, surge",4,11
"574",2,"control",4,12
"575",1,"lockdown, no surge",4,12
"576",3,"lockdown, surge",4,12
"577",3,"control",4,13
"578",1,"lockdown, no surge",4,13
"579",5,"lockdown, surge",4,13
"580",5,"control",4,14
"581",1,"lockdown, no surge",4,14
"582",5,"lockdown, surge",4,14
"583",7,"control",4,15
"584",1,"lockdown, no surge",4,15
"585",7,"lockdown, surge",4,15
"586",10,"control",4,16
"587",3,"lockdown, no surge",4,16
"588",10,"lockdown, surge",4,16
"589",18,"control",4,17
"590",5,"lockdown, no surge",4,17
"591",11,"lockdown, surge",4,17
"592",27,"control",4,18
"593",9,"lockdown, no surge",4,18
"594",14,"lockdown, surge",4,18
"595",37,"control",4,19
"596",11,"lockdown, no surge",4,19
"597",20,"lockdown, surge",4,19
"598",46,"control",4,20
"599",14,"lockdown, no surge",4,20
"600",23,"lockdown, surge",4,20
"601",53,"control",4,21
"602",15,"lockdown, no surge",4,21
"603",25,"lockdown, surge",4,21
"604",61,"control",4,22
"605",20,"lockdown, no surge",4,22
"606",27,"lockdown, surge",4,22
"607",70,"control",4,23
"608",22,"lockdown, no surge",4,23
"609",30,"lockdown, surge",4,23
"610",75,"control",4,24
"611",27,"lockdown, no surge",4,24
"612",33,"lockdown, surge",4,24
"613",81,"control",4,25
"614",41,"lockdown, no surge",4,25
"615",35,"lockdown, surge",4,25
"616",87,"control",4,26
"617",48,"lockdown, no surge",4,26
"618",41,"lockdown, surge",4,26
"619",90,"control",4,27
"620",54,"lockdown, no surge",4,27
"621",45,"lockdown, surge",4,27
"622",92,"control",4,28
"623",56,"lockdown, no surge",4,28
"624",51,"lockdown, surge",4,28
"625",92,"control",4,29
"626",57,"lockdown, no surge",4,29
"627",55,"lockdown, surge",4,29
"628",94,"control",4,30
"629",59,"lockdown, no surge",4,30
"630",58,"lockdown, surge",4,30
"631",98,"control",4,31
"632",63,"lockdown, no surge",4,31
"633",59,"lockdown, surge",4,31
"634",99,"control",4,32
"635",66,"lockdown, no surge",4,32
"636",64,"lockdown, surge",4,32
"637",99,"control",4,33
"638",71,"lockdown, no surge",4,33
"639",70,"lockdown, surge",4,33
"640",99,"control",4,34
"641",74,"lockdown, no surge",4,34
"642",73,"lockdown, surge",4,34
"643",99,"control",4,35
"644",80,"lockdown, no surge",4,35
"645",75,"lockdown, surge",4,35
"646",99,"control",4,36
"647",81,"lockdown, no surge",4,36
"648",78,"lockdown, surge",4,36
"649",100,"control",4,37
"650",81,"lockdown, no surge",4,37
"651",79,"lockdown, surge",4,37
"652",100,"control",4,38
"653",83,"lockdown, no surge",4,38
"654",81,"lockdown, surge",4,38
"655",100,"control",4,39
"656",84,"lockdown, no surge",4,39
"657",82,"lockdown, surge",4,39
"658",100,"control",4,40
"659",85,"lockdown, no surge",4,40
"660",84,"lockdown, surge",4,40
"661",100,"control",4,41
"662",87,"lockdown, no surge",4,41
"663",86,"lockdown, surge",4,41
"664",100,"control",4,42
"665",90,"lockdown, no surge",4,42
"666",87,"lockdown, surge",4,42
"667",100,"control",4,43
"668",90,"lockdown, no surge",4,43
"669",90,"lockdown, surge",4,43
"670",100,"control",4,44
"671",92,"lockdown, no surge",4,44
"672",91,"lockdown, surge",4,44
"673",100,"control",4,45
"674",92,"lockdown, no surge",4,45
"675",91,"lockdown, surge",4,45
"676",100,"control",4,46
"677",93,"lockdown, no surge",4,46
"678",91,"lockdown, surge",4,46
"679",100,"control",4,47
"680",93,"lockdown, no surge",4,47
"681",91,"lockdown, surge",4,47
"682",100,"control",4,48
"683",93,"lockdown, no surge",4,48
"684",91,"lockdown, surge",4,48
"685",100,"control",4,49
"686",93,"lockdown, no surge",4,49
"687",91,"lockdown, surge",4,49
"688",100,"control",4,50
"689",93,"lockdown, no surge",4,50
"690",92,"lockdown, surge",4,50
"691",100,"control",4,51
"692",93,"lockdown, no surge",4,51
"693",92,"lockdown, surge",4,51
"694",100,"control",4,52
"695",94,"lockdown, no surge",4,52
"696",93,"lockdown, surge",4,52
"697",100,"control",4,53
"698",94,"lockdown, no surge",4,53
"699",93,"lockdown, surge",4,53
"700",100,"control",4,54
"701",94,"lockdown, no surge",4,54
"702",93,"lockdown, surge",4,54
"703",100,"control",4,55
"704",94,"lockdown, no surge",4,55
"705",93,"lockdown, surge",4,55
"706",100,"control",4,56
"707",94,"lockdown, no surge",4,56
"708",93,"lockdown, surge",4,56
"709",100,"control",4,57
"710",94,"lockdown, no surge",4,57
"711",93,"lockdown, surge",4,57
"712",100,"control",4,58
"713",95,"lockdown, no surge",4,58
"714",93,"lockdown, surge",4,58
"715",100,"control",4,59
"716",95,"lockdown, no surge",4,59
"717",93,"lockdown, surge",4,59
"718",100,"control",4,60
"719",96,"lockdown, no surge",4,60
"720",94,"lockdown, surge",4,60
"721",1,"control",5,1
"722",1,"lockdown, no surge",5,1
"723",1,"lockdown, surge",5,1
"724",1,"control",5,2
"725",1,"lockdown, no surge",5,2
"726",1,"lockdown, surge",5,2
"727",1,"control",5,3
"728",1,"lockdown, no surge",5,3
"729",1,"lockdown, surge",5,3
"730",1,"control",5,4
"731",1,"lockdown, no surge",5,4
"732",1,"lockdown, surge",5,4
"733",1,"control",5,5
"734",1,"lockdown, no surge",5,5
"735",1,"lockdown, surge",5,5
"736",1,"control",5,6
"737",1,"lockdown, no surge",5,6
"738",1,"lockdown, surge",5,6
"739",1,"control",5,7
"740",1,"lockdown, no surge",5,7
"741",1,"lockdown, surge",5,7
"742",1,"control",5,8
"743",1,"lockdown, no surge",5,8
"744",1,"lockdown, surge",5,8
"745",1,"control",5,9
"746",1,"lockdown, no surge",5,9
"747",1,"lockdown, surge",5,9
"748",1,"control",5,10
"749",1,"lockdown, no surge",5,10
"750",1,"lockdown, surge",5,10
"751",1,"control",5,11
"752",1,"lockdown, no surge",5,11
"753",2,"lockdown, surge",5,11
"754",1,"control",5,12
"755",1,"lockdown, no surge",5,12
"756",2,"lockdown, surge",5,12
"757",2,"control",5,13
"758",1,"lockdown, no surge",5,13
"759",2,"lockdown, surge",5,13
"760",2,"control",5,14
"761",1,"lockdown, no surge",5,14
"762",2,"lockdown, surge",5,14
"763",3,"control",5,15
"764",1,"lockdown, no surge",5,15
"765",6,"lockdown, surge",5,15
"766",5,"control",5,16
"767",1,"lockdown, no surge",5,16
"768",7,"lockdown, surge",5,16
"769",14,"control",5,17
"770",2,"lockdown, no surge",5,17
"771",10,"lockdown, surge",5,17
"772",18,"control",5,18
"773",5,"lockdown, no surge",5,18
"774",12,"lockdown, surge",5,18
"775",26,"control",5,19
"776",9,"lockdown, no surge",5,19
"777",13,"lockdown, surge",5,19
"778",37,"control",5,20
"779",10,"lockdown, no surge",5,20
"780",17,"lockdown, surge",5,20
"781",43,"control",5,21
"782",13,"lockdown, no surge",5,21
"783",22,"lockdown, surge",5,21
"784",50,"control",5,22
"785",16,"lockdown, no surge",5,22
"786",24,"lockdown, surge",5,22
"787",55,"control",5,23
"788",18,"lockdown, no surge",5,23
"789",29,"lockdown, surge",5,23
"790",67,"control",5,24
"791",24,"lockdown, no surge",5,24
"792",29,"lockdown, surge",5,24
"793",75,"control",5,25
"794",30,"lockdown, no surge",5,25
"795",31,"lockdown, surge",5,25
"796",82,"control",5,26
"797",36,"lockdown, no surge",5,26
"798",32,"lockdown, surge",5,26
"799",86,"control",5,27
"800",44,"lockdown, no surge",5,27
"801",38,"lockdown, surge",5,27
"802",89,"control",5,28
"803",52,"lockdown, no surge",5,28
"804",44,"lockdown, surge",5,28
"805",92,"control",5,29
"806",55,"lockdown, no surge",5,29
"807",49,"lockdown, surge",5,29
"808",92,"control",5,30
"809",55,"lockdown, no surge",5,30
"810",50,"lockdown, surge",5,30
"811",95,"control",5,31
"812",58,"lockdown, no surge",5,31
"813",57,"lockdown, surge",5,31
"814",96,"control",5,32
"815",61,"lockdown, no surge",5,32
"816",59,"lockdown, surge",5,32
"817",99,"control",5,33
"818",65,"lockdown, no surge",5,33
"819",65,"lockdown, surge",5,33
"820",99,"control",5,34
"821",68,"lockdown, no surge",5,34
"822",69,"lockdown, surge",5,34
"823",99,"control",5,35
"824",71,"lockdown, no surge",5,35
"825",72,"lockdown, surge",5,35
"826",99,"control",5,36
"827",76,"lockdown, no surge",5,36
"828",74,"lockdown, surge",5,36
"829",99,"control",5,37
"830",79,"lockdown, no surge",5,37
"831",74,"lockdown, surge",5,37
"832",100,"control",5,38
"833",80,"lockdown, no surge",5,38
"834",75,"lockdown, surge",5,38
"835",100,"control",5,39
"836",84,"lockdown, no surge",5,39
"837",78,"lockdown, surge",5,39
"838",100,"control",5,40
"839",84,"lockdown, no surge",5,40
"840",81,"lockdown, surge",5,40
"841",100,"control",5,41
"842",85,"lockdown, no surge",5,41
"843",84,"lockdown, surge",5,41
"844",100,"control",5,42
"845",86,"lockdown, no surge",5,42
"846",86,"lockdown, surge",5,42
"847",100,"control",5,43
"848",88,"lockdown, no surge",5,43
"849",88,"lockdown, surge",5,43
"850",100,"control",5,44
"851",90,"lockdown, no surge",5,44
"852",89,"lockdown, surge",5,44
"853",100,"control",5,45
"854",91,"lockdown, no surge",5,45
